PlateIFU,z,log(M*)
10001-3703,0.0405528,9.802419054400966
10001-9101,0.0400858,9.888643615409753
7443-12702,0.0575241,10.625864471821407
7443-1901,0.0187596,9.519603009580441
7443-3701,0.0178955,9.230108338531315
7443-3704,0.0226546,9.119333333934724
7443-6101,0.0309125,8.998511099995614
7443-6102,0.0280161,10.499226852441627
7443-9101,0.0404705,10.393460593850893
7495-12704,0.0289385,10.636131586587425
7495-3701,0.0670065,10.898597587165211
7495-6101,0.026744,9.194970568687191
7495-6102,0.0261462,9.109393255784301
7815-3702,0.0293823,10.316838665231524
7815-6103,0.135043,11.093711785023883
7957-12701,0.0365221,9.526133476876954
7957-12704,0.0276725,10.084729441216435
7957-12705,0.0736188,10.896961283772646
7957-3703,0.0359937,9.464930352183302
7957-9101,0.0366971,9.541268413019178
7957-9102,0.0256541,10.127752515832974
7958-3702,0.0370471,10.608547863453893
7960-12701,0.0315166,10.823693756289417
7960-12705,0.0295939,10.466292496021504
7960-3704,0.0239571,9.253055994306012
7960-6101,0.022468,9.409898634986476
7962-12701,0.022654,9.811042616968294
7962-12704,0.0223086,10.13126831726224
7962-6102,0.0434744,10.019459654851019
7964-12701,0.0236192,9.733277533932581
7964-3704,0.0175905,9.248542238385278
7964-6101,0.0486859,10.855755195022045
7964-9101,0.058071,10.593358413261155
7968-3701,0.0515439,11.006072042708327
7972-6104,0.0422713,9.940319255335563
7975-12705,0.0402895,9.736793130145392
7975-9101,0.0636505,10.733475685261004
7977-3703,0.0275274,10.23672641055877
7990-3703,0.0285483,9.988769110158952
7990-6104,0.026199,10.150634906841283
7991-12704,0.0250049,9.785281884160629
7992-1901,0.016383,9.33204252941903
7992-3702,0.0542151,10.266655922091646
7992-9101,0.0190997,9.271766239501167
8077-12701,0.0439803,9.910858442287909
8077-6104,0.0457756,10.539329623656812
8078-12705,0.0249439,9.746340249436635
8078-3701,0.0244203,9.671282437170698
8078-3703,0.0236987,9.58948454955479
8078-3704,0.023073,9.57715637117321
8078-6103,0.0282334,10.687649061255229
8080-12701,0.0427789,10.522154021354261
